City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Sheltozero,RU,2022-10-11 21:32:49,61.3667,35.3667,280.88,75,94,5.58
244,Azad Shahr,IR,2022-10-11 21:32:49,34.7909,48.5707,278.42,26,0,2.06
245,Ribeira Grande,PT,2022-10-11 21:32:50,38.5167,-28.7,294.14,88,38,0.89
246,Pochinki,RU,2022-10-11 21:32:50,54.6988,44.8668,281.63,92,100,3.88
247,Klaksvik,FO,2022-10-11 21:32:51,62.2266,-6.589,283.66,98,100,10.37
248,Paita,PE,2022-10-11 21:32:51,-5.0892,-81.1144,292.69,77,19,7.08
249,Katsuura,JP,2022-10-11 21:32:52,35.1333,140.3,293.37,68,100,6.81
250,Puerto Madero,MX,2022-10-11 21:32:52,14.7208,-92.4215,303.26,79,75,10.29
251,Salalah,OM,2022-10-11 21:32:53,17.0151,54.0924,297.2,60,0,2.06
252,Ostrovnoy,RU,2022-10-11 21:32:54,68.0531,39.5131,278.89,89,80,8.61
253,Paamiut,GL,2022-10-11 21:32:54,61.994,-49.6678,273.43,66,95,4.11
254,Pisco,PE,2022-10-11 21:32:55,-13.7,-76.2167,292.18,63,0,9.26
255,Asyut,EG,2022-10-11 21:32:55,27.181,31.1837,296.25,46,0,4.09
256,Caucaia,BR,2022-10-11 21:32:56,-3.7361,-38.6531,300.39,77,0,5.66
257,Chumikan,RU,2022-10-11 21:32:56,54.7183,135.315,273.33,82,10,6.7
258,Hami,CN,2022-10-11 21:32:57,42.8,93.45,282.53,35,54,2.5
259,Yaan,NG,2022-10-11 21:32:57,7.3833,8.5667,297.71,85,74,0.65
260,The Valley,AI,2022-10-11 21:32:58,18.217,-63.0578,301.07,89,20,4.12
261,Chernyshevskiy,RU,2022-10-11 21:32:58,63.0128,112.4714,274.46,98,100,3.43
262,Poum,NC,2022-10-11 21:32:59,-20.2333,164.0167,297.95,71,100,3.95
263,Yeppoon,AU,2022-10-11 21:33:00,-23.1333,150.7333,291.03,72,45,6.28
264,Malakal,SS,2022-10-11 21:33:00,9.5334,31.6605,295.79,87,14,1.35
265,Booue,GA,2022-10-11 21:33:01,-0.0921,11.9385,295.73,98,95,1.15
266,Wernberg,AT,2022-10-11 21:33:02,46.6233,13.9607,286.76,94,99,0.1
267,Ketchikan,US,2022-10-11 21:34:02,55.3422,-131.6461,286.14,94,100,3.09
268,Oranjemund,NA,2022-10-11 21:34:03,-28.55,16.4333,288.12,94,100,2.74
269,Puri,IN,2022-10-11 21:34:03,19.8,85.85,299.44,78,66,4.21
