City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Baglung,NP,28.2719,83.5898,63.72,49,0,4.7,clear sky
215,Esil,KZ,51.9556,66.4042,36.97,90,20,7.23,few clouds
216,Kavieng,PG,-2.5744,150.7967,83.91,74,100,11.03,light rain
217,Whyalla,AU,-33.0333,137.5833,72.52,41,100,9.86,overcast clouds
218,Pedernales,DO,18.0384,-71.744,80.26,76,3,2.19,clear sky
219,Dalbandin,PK,28.8947,64.4101,68.61,12,0,4.34,clear sky
220,Seminole,US,28.7086,-81.2081,76.37,86,0,6.91,clear sky
221,Saskylakh,RU,71.9167,114.0833,17.26,92,69,15.39,broken clouds
222,Channel-Port Aux Basques,CA,47.5702,-59.1367,53.46,97,100,19.82,overcast clouds
223,Litija,SI,46.0586,14.8225,51.62,96,1,1.3,clear sky
224,Vaitape,PF,-16.5167,-151.75,78.78,70,0,13.56,clear sky
225,Mbanza-Ngungu,CD,-5.25,14.8667,69.39,91,16,5.41,few clouds
226,Talnakh,RU,69.4865,88.3972,27.21,96,100,8.01,light snow
227,Mandurah,AU,-32.55,115.7,61.47,62,8,12.3,clear sky
228,Port Lincoln,AU,-34.7333,135.8667,62.1,69,100,17.49,overcast clouds
229,Kruisfontein,ZA,-34.0033,24.7314,64.89,65,100,5.61,overcast clouds
230,Orsha,BY,54.5153,30.4053,45.95,76,97,15.86,overcast clouds
231,Katsuura,JP,35.1333,140.3,76.01,84,99,9.69,overcast clouds
232,Mahebourg,MU,-20.4081,57.7,67.24,94,75,11.5,light intensity shower rain
233,Peniche,PT,39.3558,-9.3811,63.1,89,89,9.73,overcast clouds
234,Preobrazheniye,RU,42.9019,133.9064,49.05,42,41,10.49,scattered clouds
235,Berezovyy,RU,51.6667,135.7,38.91,55,100,4.59,overcast clouds
236,Pevek,RU,69.7008,170.3133,8.22,95,91,5.19,overcast clouds
237,Belaya Gora,RU,68.5333,146.4167,16.79,66,100,6.58,overcast clouds
238,Lebork,PL,54.5392,17.7501,51.93,91,95,5.55,overcast clouds
239,Kihei,US,20.785,-156.4656,87.82,66,20,20.71,few clouds
240,Ajaccio,FR,42.0,8.9167,57.25,88,0,8.05,clear sky
241,Skala,PL,50.2305,19.8536,53.8,88,19,3.44,fog
242,Tura,IN,25.5198,90.2201,75.54,80,0,1.54,clear sky
243,Nouakchott,MR,18.0858,-15.9785,78.73,69,6,15.32,clear sky
244,Naze,JP,28.3667,129.4833,81.52,79,99,3.94,overcast clouds
245,Lima,PE,-12.0432,-77.0282,60.91,82,0,12.66,clear sky
246,Saint-Augustin,CA,51.226,-58.6502,51.6,76,100,10.92,overcast clouds
247,Macas,EC,-2.3167,-78.1167,66.72,93,94,2.46,overcast clouds
248,Baie-Comeau,CA,49.2168,-68.1489,33.48,100,0,5.75,clear sky
249,Sept-Iles,CA,50.2001,-66.3821,48.72,99,100,3.44,mist
250,Letlhakeng,BW,-24.0944,25.0298,70.14,56,100,9.1,overcast clouds
251,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,3.44,overcast clouds
252,Nefteyugansk,RU,61.0998,72.6035,41.83,96,100,2.37,light rain
253,Teya,RU,60.3778,92.6267,33.06,72,93,3.0,overcast clouds
254,Keti Bandar,PK,24.1447,67.4497,79.74,66,1,8.32,clear sky
255,Naryan-Mar,RU,67.6713,53.087,39.6,93,100,11.7,overcast clouds
256,Esso,RU,55.9333,158.7,29.39,80,100,7.11,overcast clouds
257,Terrace,CA,54.5163,-128.6035,55.31,94,20,3.44,few clouds
258,Northam,GB,51.0333,-4.2167,56.61,88,98,16.96,overcast clouds
259,Taoudenni,ML,22.6783,-3.9836,88.09,14,100,13.0,overcast clouds
